Surface [m2],Rooms,Price [CHF/month],Country,City
50.0,2.0,846,Germany,Freiburg
33.0,2.0,665,Germany,Freiburg
50.0,2.0,209,Germany,Freiburg
40.0,3.0,835,Germany,Freiburg
35.0,2.0,574,Germany,Freiburg
38.0,2.0,940,Germany,Freiburg
68.0,2.0,710,Germany,Freiburg
42.0,2.0,689,Germany,Freiburg
57.0,2.0,1148,Germany,Freiburg
79.0,3.0,1096,Germany,Freiburg
70.0,3.0,1305,Germany,Freiburg
65.0,2.0,1044,Germany,Freiburg
120.0,5.0,2610,Germany,Freiburg
57.0,2.0,921,Germany,Freiburg
65.0,2.0,1305,Germany,Freiburg
80.0,3.0,1305,Germany,Freiburg
52.0,2.0,971,Germany,Freiburg
80.0,3.0,731,Germany,Freiburg
50.0,3.0,927,Germany,Freiburg
250.0,10.0,2714,Germany,Freiburg
40.0,2.0,887,Germany,Freiburg
47.0,2.0,928,Germany,Freiburg
50.0,2.0,731,Germany,Freiburg
72.0,2.0,734,Germany,Freiburg
56.0,2.0,919,Germany,Freiburg
96.0,3.0,825,Germany,Freiburg
40.0,2.0,714,Germany,Freiburg
80.0,3.0,1514,Germany,Freiburg
61.0,2.0,574,Germany,Freiburg
65.0,3.0,1451,Germany,Freiburg
90.0,2.0,1336,Germany,Freiburg
60.0,2.0,1023,Germany,Freiburg
10.0,4.0,404,Germany,Freiburg
43.0,2.0,825,Germany,Freiburg
52.0,2.0,846,Germany,Freiburg
51.0,2.0,1060,Germany,Freiburg
85.0,2.0,1044,Germany,Freiburg
60.0,3.0,574,Germany,Freiburg
35.0,2.0,887,Germany,Freiburg
51.0,2.0,1221,Germany,Freiburg
70.0,3.0,1128,Germany,Freiburg
59.0,2.0,908,Germany,Freiburg
50.0,2.0,814,Germany,Freiburg
60.0,2.0,731,Germany,Freiburg
53.0,2.0,887,Germany,Freiburg
70.0,2.0,992,Germany,Freiburg
88.0,3.0,992,Germany,Freiburg
69.0,3.0,616,Germany,Freiburg
54.0,2.0,898,Germany,Freiburg
47.0,2.0,799,Germany,Freiburg
40.0,2.0,814,Germany,Freiburg
60.0,2.0,783,Germany,Freiburg
65.0,3.0,1305,Germany,Freiburg
42.0,2.0,611,Germany,Freiburg
77.0,2.0,992,Germany,Freiburg
44.0,1.0,574,Germany,Freiburg
54.0,2.0,783,Germany,Freiburg
82.0,4.0,1681,Germany,Freiburg
130.0,2.0,1409,Germany,Freiburg
52.0,2.0,584,Germany,Freiburg
80.0,3.0,1044,Germany,Freiburg
52.0,2.0,762,Germany,Freiburg
87.0,3.0,976,Germany,Freiburg
55.0,3.0,1190,Germany,Freiburg
20.0,1.0,261,Germany,Freiburg
86.0,3.0,1305,Germany,Freiburg
35.0,2.0,386,Germany,Freiburg
15.0,4.0,369,Germany,Freiburg
80.0,3.0,940,Germany,Freiburg
100.0,3.0,1462,Germany,Freiburg
55.0,2.0,887,Germany,Freiburg
112.0,3.0,1357,Germany,Freiburg
93.0,3.0,1201,Germany,Freiburg
61.0,2.0,856,Germany,Freiburg
58.0,2.0,689,Germany,Freiburg
12.0,1.0,313,Germany,Freiburg
14.0,1.0,386,Germany,Freiburg
50.0,2.0,804,Germany,Freiburg
60.0,2.0,1117,Germany,Freiburg
50.0,2.0,1159,Germany,Freiburg
35.0,2.0,626,Germany,Freiburg
53.0,2.0,907,Germany,Freiburg
68.0,3.0,825,Germany,Freiburg
89.0,3.0,1305,Germany,Freiburg
61.0,3.0,762,Germany,Freiburg
60.0,3.0,992,Germany,Freiburg
99.0,4.0,1735,Germany,Freiburg
75.0,2.0,1253,Germany,Freiburg
63.0,2.0,804,Germany,Freiburg
50.0,2.0,899,Germany,Freiburg
75.0,3.0,940,Germany,Freiburg
40.0,2.0,865,Germany,Freiburg
45.0,2.0,825,Germany,Freiburg
95.0,4.0,1462,Germany,Freiburg
81.0,3.0,1482,Germany,Freiburg
62.0,3.0,939,Germany,Freiburg
60.0,2.0,799,Germany,Freiburg
80.0,2.0,345,Germany,Freiburg
47.0,2.0,752,Germany,Freiburg
56.0,3.0,731,Germany,Freiburg
125.0,6.0,1670,Germany,Freiburg
